trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.75, 'e': 3.1250000000000001e-05}",30,7,16.257612494638558,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.75, 'e': 3.0863006828440265e-05}",30,5,-44.605728999992934,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",1
162,False,"{'a': 0.75, 'e': 3.0483158055174518e-05}",20,0,29.04992299890151,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.75, 'e': 3.011027889645828e-05}",20,8,22.70718225307473,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 2.9744199881023203e-05}",20,0,16.300505405454622,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 2.9384756657483931e-05}",25,11,26.666749126818612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.75, 'e': 2.9031789809841779e-05}",30,16,25.00041359128566,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.75, 'e': 2.8685144680698487e-05}",25,0,37.76763768831843,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.75, 'e': 2.834467120181406e-05}",25,10,23.32305452105435,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.75, 'e': 2.8010223731662057e-05}",30,17,14.75110539413313,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.75, 'e': 2.7681660899653982e-05}",20,9,0.6884293940498969,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.75, 'e': 2.7358845456721727e-05}",25,17,-27.81377561634397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.75, 'e': 2.7041644131963226e-05}",25,11,7.136208613941562,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.75, 'e': 2.6729927495071673e-05}",20,14,13.508337062041154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 2.6423569824283263e-05}",25,16,-4.669824419939537,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.75, 'e': 2.6122448979591839e-05}",20,15,10.48779452370334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
